"LEA_STATE_NAME","TOT_RET_G12_M","SCH_SAL_TOTPERS_WOFED","SCH_FTE_TEACH_WOFED","SCH_SAL_TEACH_WOFED","SCH_NPE_WOFED","SCH_FTE_AID_WOFED","SCH_SAL_AID_WOFED","SCH_FTE_SUP_WOFED","SCH_SAL_SUP_WOFED","SCH_FTE_ADM_WOFED","SCH_SAL_ADM_WOFED","SCH_SAL_TEACH_WFED","SCH_FTE_AID_WFED","SCH_SAL_AID_WFED","SCH_FTE_SUP_WFED","SCH_SAL_SUP_WFED","SCH_FTE_ADM_WFED","SCH_SAL_ADM_WFED","SCH_SAL_TOTPERS_WFED","SCH_NPE_WFED","SCH_FTETEACH_TOT","SCH_FTETEACH_CERT","SCH_FTETEACH_NOTCERT","SCH_FTETEACH_FY","SCH_FTETEACH_SY","SCH_TEACHERS_CURR_TOT","SCH_TEACHERS_PREV_TOT","SCH_FTECOUNSELORS","SCH_FTETEACH_ABSENT","SCH_FTESECURITY_LEO","SCH_FTESECURITY_GUA","SCH_FTESERVICES_NUR","SCH_FTESERVICES_PSY","SCH_FTESERVICES_SOC"
"ALABAMA",2,5466121,84.07,5466121,2676595.97,3,60699.27,12,437865.84,4.75,399660.55,54403029.44,3,60699.27,12,437865.84,4.75,399660.55,5904306.81,3045513.79,86.57,86.57,0,2,4,88,76,3,20,2,0,1,0,1
"ALABAMA",2,3931470.11,53,3297376.05,1679131.84,1,30391.49,7,210537.12,5,373013.56,4074832.25,2,50543.38,7,21053712,5,373013.56,634094.06,2152526.63,60.5,60.5,0,14,4,61,60,3,40,1,0,1,0,0
"ALABAMA",4,2e+05,6,2e+05,75000,7,60000,2,60,2,95000,150000,0,0,0,0,0,0,0,0,6,6,0,0,0,6,6,0,0,0,0,3,0,8
"ALABAMA",11,2207934.5,31.85,2207934.5,826288,3,127312.44,6,212347.04,3,261385.19,2321300.45,3,127312.44,6,212347.04,3,261385.19,2922345.12,1154058,46.8,45.8,1,1,1,46,44,2,13,2,0,1,0,0
"ALABAMA",2,3597638.56,56,2842089.02,452814.89,0.5,12199.28,10.5,392680.6,3,234126.96,2842089.02,2.5,44515.06,17.65,443269.71,3.5,236651.52,3566525.31,484781.6,56,56,0,0,3,53,49,2,7,1,0,1,0,0
"ALABAMA",21,3194585.32,45.14,2197681.39,507127.27,2,74543.14,8,454825.66,5,441844.5,2297748.52,3,102446.52,16.33,727236.81,5.08,450922.01,4166497.51,1570353.52,45.14,45.14,0,4,1,48,42,1.5,3,0,0,0,0,0
"ALABAMA",4,3371770.09,54.56,2501062.44,1028198.55,0,0,9,356423,3,248636,2544934.17,0,0,16.34,470583.92,3,248636,3371770.09,1146162.47,56.75,0,56.75,2,1,57,56,3,6,1,0,1,0,0
"ALABAMA",4,6619512.22,110.43,5519802.79,222720.35,16,375603.33,6.3,309796.98,5,414309.12,5519802.79,16,375603.33,6.3,309796.98,5,414309.12,6619512.22,222720.35,110.43,107.43,3,3,1,110,110,5,62,2,0,1,0,0
"ALABAMA",6,4688925.17,60.5,3119142.97,1795027.47,6,81758.98,36.5,731322.27,8,421261.15,3163591.99,6,81758.98,37.75,801399.49,4,118563.15,4710198.12,3303389.55,60.5,60.5,0,0,0,64,58,2,11,1,0,1,0,0
"ALABAMA",7,6004441.16,108,4983261.79,1025504.26,7,76223.48,7.54,610733.15,5,334222.74,5471973.62,10,208700.96,8,635959.49,5,334222.74,6650856.81,1090819.8,109,109,0,6,4,110,85,1,24,0,0,2,0,0
"ALABAMA",2,1509645,21.12,1032021,127374,2,39133,2,106677,1.5,114011,1221613,2,39133,2,134888,1.5,114011,1509645,604516,23,23,0,2,1,23,24,1,15,1,0,1,0,0
"ALABAMA",4,2881111,54,2759244,280057,0,0,3,190696,11,515171,2759244,8,155565,3,170696,11,515171,3620676,280057,54,54,0,13,5,53,45,2,9,4,3,2,0,0
"ALABAMA",0,5056695.04,72,3654248.08,732224.56,1,25982.39,20,671399.41,4.5,275308.94,3654248.03,1,151548.75,21,700012.65,5,309925.83,1161487.23,806418.3,72,70,2,3,3,72,68,3,6,3,0,2,0,0
"ALABAMA",2,4283629.41,58,3109323.46,519949.28,0,0,18,625148.43,3,239031.79,3220257.34,3,62650.62,18,625148.43,3,239031.79,926830,635031.49,58,54,4,3,2,58,54,4,5,2,0,1,0,0
"ALABAMA",23,3455413.39,40.5,2396393.14,658857.13,0,0,14,453188.06,3.5,282413.04,2620772.99,4,96960,15,484441.75,4,317688.96,899090.71,863860.77,40.5,40.5,0,5,4,40,36,2,2,0.5,0,0,0,0
"ALABAMA",0,3468841.26,49.91,2593027.9,833207.09,0,0,12,343431.02,2.5,200132.57,2597027.9,0,0,12,343431.02,3,230590.8,615672.82,890234.15,54,54,0,5,0,54,54,2,1,1,0,1,0,0
"ALABAMA",17,2829116.56,44.94,2408882.24,8397.57,0,0,13.5,408342.8,2.5,221142.96,2617852.9,0,0,14.5,512342.36,4,316418.88,828761.24,32720,51,48,3,2,0,51,48,2,0,2,0,1,0,0
"ALABAMA",20,3312324.12,43.53,2399948.28,618940.99,0,0,12,424991.06,3.5,262819.93,2439814.28,2,49717.6,13,475957.93,4,294780.37,820455.9,812108.29,56,51,5,1,19,56,55,3,18,2,0,1,0,0
"ALABAMA",8,3346437.95,43.86,2224857.73,556146.13,0,0,20,577823.61,2.5,225522.96,2352618.08,3.5,93013.31,20,577823.61,4,324719.88,995556.8,692699.02,48,42,6,2,0,48,42,2,6,2,0,1,0,0
"ALABAMA",2,2359775.16,33.84,1567795.43,810988.38,3,57466.8,19.38,597481.72,2,137031.21,1608327.07,6.05,143763,25.25,710270.24,2,137031.21,2599391.52,1031357.42,39.62,39.62,0,4,0,37,37,1.5,14,1,0,1.04,0,0
"ALABAMA",4,2118601.57,31.41,1384635.25,971102.01,2.02,38703.34,20.56,549377.66,2,145885.32,1394980.24,3.17,72718.79,25.07,657185.17,2,145885.32,2270769.52,1181296.98,32.36,32.36,0,1,0,28,28,1.5,15,0.5,0,0.51,0,0
"ALABAMA",2,1939049.33,27.91,1221267.84,857668.5,3,50567.8,16.63,520348.8,2,146864.89,1223840.61,3,50567.8,23.23,671989.74,2,146864.89,2093263.04,1174208.61,29.84,29.84,0,2,1,27,29,1.5,20,0.5,0,0.55,0,0
"ALABAMA",4,2508443.82,38.69,1709401.66,890760.14,1.52,25676.64,21.28,619266.19,2,154099.33,1727710.52,5.26,99001.19,27.39,763561.54,2,154099.33,2744372.58,1151442.92,43.93,43.93,0,2,4,42,37,1.5,12,1,0,1.05,0,0
"ALABAMA",4,2243459.54,36.62,1658103.74,38559.5,2,36982.46,2.07,183200.54,3,183200.54,1658569.2,7,123512.46,3,139302.48,3,183200.54,2352716.51,540896.54,43,43,0,9,4,43,34,2,15,1,0,1,0,0
